labels,mm_x,mm_y,mm_z,surfmm_x,surfmm_y,surfmm_z,vox_x,vox_y,vox_z,roi,roiNum
LA1,-19.125,-7.4375,-14.4375,-18.125,9.5625,-33.4375,146,161,137,Left-Amygdala,18.0
LA2,-23.225806451612897,-8.096774193548384,-13.16129032258064,-22.225806451612897,8.903225806451616,-32.16129032258064,150,160,136,Left-Amygdala,18.0
LA3,-27.571428571428584,-8.26190476190476,-11.666666666666655,-26.571428571428584,8.73809523809524,-30.666666666666657,154,158,136,Left-Amygdala,18.0
LA4,-32.953488372093034,-8.930232558139522,-10.0,-31.953488372093037,8.069767441860478,-29.0,159,157,136,Left-Putamen,12.0
LA5,-37.16666666666666,-9.520833333333345,-8.395833333333343,-36.16666666666666,7.479166666666657,-27.395833333333343,164,155,135,ctx-lh-insula,1035.0
LA6,-42.31999999999999,-9.47999999999999,-7.1200000000000045,-41.31999999999999,7.52000000000001,-26.120000000000005,169,154,135,ctx-lh-insula,1035.0
LA7,-47.775000000000006,-9.525000000000006,-5.800000000000011,-46.775000000000006,7.474999999999994,-24.80000000000001,174,152,135,ctx-lh-superiortemporal,1030.0
LA8,-52.93181818181819,-10.25,-6.113636363636374,-51.93181818181819,6.75,-25.11363636363637,179,153,134,ctx-lh-superiortemporal,1030.0
LA9,-58.34693877551021,-11.673469387755093,-6.632653061224488,-57.34693877551021,5.326530612244909,-25.632653061224488,185,153,133,ctx-lh-superiortemporal,1030.0
LA10,-63.82222222222222,-12.26666666666668,-7.377777777777766,-62.82222222222222,4.73333333333332,-26.37777777777777,190,154,132,ctx-lh-superiortemporal,1030.0
LA11,-69.44186046511629,-12.604651162790702,-8.720930232558146,-68.44186046511629,4.395348837209298,-27.720930232558143,196,155,132,ctx-lh-superiortemporal,1030.0
LB1,-17.636363636363626,-12.204545454545467,-17.954545454545467,-16.636363636363626,4.7954545454545325,-36.95454545454547,144,164,132,Left-Hippocampus,17.0
LB2,-22.461538461538453,-14.076923076923066,-18.15384615384616,-21.461538461538453,2.923076923076934,-37.15384615384616,149,165,130,Left-Hippocampus,17.0
LB3,-27.428571428571416,-15.514285714285704,-19.19999999999999,-26.428571428571416,1.4857142857142946,-38.19999999999999,154,166,129,Left-Hippocampus,17.0
LB4,-32.23333333333332,-17.16666666666667,-19.73333333333332,-31.23333333333332,-0.1666666666666714,-38.73333333333332,159,166,127,Left-Hippocampus,17.0
LB5,-37.79411764705881,-18.67647058823529,-19.529411764705884,-36.79411764705881,-1.67647058823529,-38.52941176470589,164,166,126,ctx-lh-fusiform,1007.0
LB6,-42.71052631578948,-19.315789473684205,-19.42105263157896,-41.71052631578948,-2.3157894736842053,-38.42105263157896,169,166,125,ctx-lh-fusiform,1007.0
LB8,-50.19512195121951,-22.5609756097561,-21.78048780487805,-49.19512195121951,-5.560975609756099,-40.78048780487805,177,168,122,ctx-lh-inferiortemporal,1009.0
LB9,-54.78571428571428,-24.11904761904762,-23.166666666666657,-53.78571428571428,-7.11904761904762,-42.16666666666666,181,170,120,ctx-lh-inferiortemporal,1009.0
LB10,-60.90909090909091,-24.127272727272725,-23.23636363636365,-59.90909090909091,-7.127272727272725,-42.23636363636365,187,170,120,ctx-lh-inferiortemporal,1009.0
LB11,-66.6,-24.90000000000001,-23.333333333333343,-65.6,-7.900000000000006,-42.33333333333334,193,170,120,ctx-lh-middletemporal,1015.0
LC1,-17.0,-25.22222222222223,-16.425925925925924,-16.0,-8.222222222222229,-35.425925925925924,144,163,119,Left-Hippocampus,17.0
LC2,-22.382352941176464,-26.411764705882348,-16.205882352941188,-21.382352941176464,-9.411764705882348,-35.20588235294119,149,163,118,Left-Hippocampus,17.0
LC3,-26.92105263157896,-27.44736842105263,-15.97368421052633,-25.92105263157896,-10.44736842105263,-34.97368421052633,153,162,117,Left-Hippocampus,17.0
LC4,-32.08000000000001,-29.56,-16.879999999999995,-31.080000000000013,-12.560000000000002,-35.879999999999995,159,163,115,ctx-lh-parahippocampal,1016.0
LC5,-35.68181818181819,-30.36363636363636,-16.590909090909093,-34.68181818181819,-13.36363636363636,-35.59090909090909,162,163,114,ctx-lh-fusiform,1007.0
LC6,-40.79310344827587,-30.75862068965517,-16.51724137931035,-39.79310344827587,-13.758620689655174,-35.51724137931035,167,163,114,ctx-lh-fusiform,1007.0
LC7,-45.56756756756758,-31.75675675675676,-17.351351351351354,-44.56756756756758,-14.756756756756758,-36.35135135135136,172,164,113,ctx-lh-inferiortemporal,1009.0
LC8,-50.88095238095238,-32.83333333333333,-17.26190476190476,-49.88095238095238,-15.833333333333329,-36.26190476190476,177,164,112,ctx-lh-inferiortemporal,1009.0
LC9,-56.434782608695656,-33.60869565217391,-15.326086956521747,-55.434782608695656,-16.608695652173907,-34.32608695652175,183,162,111,ctx-lh-inferiortemporal,1009.0
LC10,-60.0408163265306,-35.61224489795919,-15.51020408163265,-59.0408163265306,-18.612244897959187,-34.51020408163265,187,162,109,ctx-lh-middletemporal,1015.0
LC11,-65.71186440677965,-37.79661016949153,-17.711864406779654,-64.71186440677965,-20.79661016949153,-36.71186440677965,192,164,107,ctx-lh-middletemporal,1015.0
LD1,-28.97826086956522,-40.586956521739125,-23.608695652173907,-27.97826086956522,-23.586956521739125,-42.60869565217391,155,170,104,ctx-lh-fusiform,1007.0
LD2,-32.485714285714295,-43.82857142857142,-20.0,-31.48571428571429,-26.828571428571426,-39.0,159,167,101,ctx-lh-fusiform,1007.0
LD3,-35.25581395348837,-45.93023255813954,-15.883720930232556,-34.25581395348837,-28.930232558139537,-34.88372093023256,162,162,99,ctx-lh-fusiform,1007.0
LD9,-46.081081081081095,-52.37837837837837,13.945945945945937,-45.081081081081095,-35.37837837837837,-5.054054054054063,173,133,92,ctx-lh-inferiorparietal,1008.0
LD10,-48.56,-53.52,18.960000000000008,-47.56,-36.52,-0.039999999999992,175,128,91,ctx-lh-supramarginal,1031.0
LD11,-49.97222222222223,-55.75,21.97222222222223,-48.97222222222223,-38.75,2.9722222222222285,176,125,89,ctx-lh-inferiorparietal,1008.0
LD12,-52.55882352941177,-56.147058823529406,26.941176470588232,-51.55882352941177,-39.147058823529406,7.941176470588232,179,120,88,ctx-lh-supramarginal,1031.0
LE2,-37.783783783783775,2.6486486486486456,-9.108108108108098,-36.783783783783775,19.64864864864865,-28.108108108108095,164,156,147,ctx-lh-insula,1035.0
LE3,-43.41999999999999,2.1200000000000045,-10.620000000000005,-42.41999999999999,19.120000000000005,-29.620000000000005,170,157,147,ctx-lh-insula,1035.0
LE4,-48.6,3.2857142857142776,-12.085714285714287,-47.6,20.28571428571428,-31.08571428571429,175,159,148,ctx-lh-superiortemporal,1030.0
LE5,-53.36842105263159,4.026315789473671,-13.47368421052633,-52.36842105263159,21.02631578947367,-32.47368421052633,180,160,149,ctx-lh-superiortemporal,1030.0
LE6,-59.52000000000001,4.02000000000001,-15.659999999999997,-58.52000000000001,21.02000000000001,-34.66,186,162,149,ctx-lh-superiortemporal,1030.0
LF1,-32.21568627450981,-19.509803921568636,-3.666666666666657,-31.215686274509807,-2.5098039215686327,-22.666666666666657,159,150,125,Left-Putamen,12.0
LF2,-39.81034482758622,-20.43103448275862,-5.34482758620689,-38.81034482758622,-3.431034482758619,-24.34482758620689,166,152,124,ctx-lh-insula,1035.0
LF3,-44.93617021276594,-20.489361702127653,-6.085106382978722,-43.93617021276594,-3.4893617021276526,-25.08510638297872,171,153,124,ctx-lh-superiortemporal,1030.0
LF4,-50.38709677419354,-20.19354838709677,-6.451612903225794,-49.38709677419354,-3.1935483870967687,-25.451612903225797,177,153,124,ctx-lh-superiortemporal,1030.0
LF5,-54.43243243243242,-19.83783783783784,-7.189189189189193,-53.43243243243242,-2.8378378378378386,-26.189189189189197,181,154,125,ctx-lh-superiortemporal,1030.0
LF6,-58.30769230769232,-20.230769230769223,-9.230769230769226,-57.30769230769232,-3.2307692307692264,-28.230769230769223,185,156,124,ctx-lh-middletemporal,1015.0
